tenant_id,canal,field_key,question_text,rule_type,match_value,min_value,max_value,score,normalized_value,priority,metadata
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,requirements_defined,¿Ya tienes claras las características que buscas?,equals,refused,,,20,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,comparison_mode,¿Estás comparando opciones o apenas explorando?,equals,shortlist,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,comparison_mode,¿Estás comparando opciones o apenas explorando?,equals,comparing,,,75,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,comparison_mode,¿Estás comparando opciones o apenas explorando?,equals,exploring,,,45,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,comparison_mode,¿Estás comparando opciones o apenas explorando?,equals,unknown,,,40,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,comparison_mode,¿Estás comparando opciones o apenas explorando?,equals,refused,,,20,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,individual,,,80,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,couple,,,80,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,family,,,80,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,company,,,90,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,investor,,,90,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,unknown,,,40,,60,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,buyer_type,"¿La compra es para uso personal, familia, empresa o inversión?",equals,refused,,,20,,70,"{""source"":""gran_penon_scoring_seed_v1""}"
