entidad,grupo,nombre,tipo,status,pais_codigo,estado_cve,municipio_cve,nivel,capa_nivel,unidad,tipo_nombre,poligono,metadata,linea_id,familia_id,modelo_id,height,min_height,levels,metadata_color
unidad,GT Group,Departamento 06,,disponible,MX,3,8,2,2,3F,departamento,"{""coordinates"": [[[-109.73794098960335, 23.002104469809645, 9], [-109.73809071119547, 23.001973341094995, 9], [-109.73814258091014, 23.00202741598555, 9], [-109.73799373962656, 23.00215905280138, 9], [-109.73794098960335, 23.002104469809645, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 07,,disponible,MX,3,8,2,2,3G,departamento,"{""coordinates"": [[[-109.73788533132532, 23.002046877506462, 9], [-109.73803520704223, 23.001915477252318, 9], [-109.73809071119547, 23.001973341094995, 9], [-109.73794098960335, 23.002104469809645, 9], [-109.73788533132532, 23.002046877506462, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 08,,disponible,MX,3,8,2,2,3H,departamento,"{""coordinates"": [[[-109.73792925801384, 23.001870964016366, 9], [-109.73782642651277, 23.00175864037676, 9], [-109.73787841137819, 23.00171714239749, 9], [-109.73798223923421, 23.00182413870921, 9], [-109.73792925801384, 23.001870964016366, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 09,,disponible,MX,3,8,2,2,3I,departamento,"{""coordinates"": [[[-109.73787841137819, 23.00171714239749, 9], [-109.73793353040804, 23.001673142507546, 9], [-109.73803261955996, 23.00177930945603, 9], [-109.73805617237909, 23.001804544619386, 9], [-109.73800311043402, 23.00184564682356, 9], [-109.73798182040113, 23.001823707094836, 9], [-109.73787841137819, 23.00171714239749, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 10,,disponible,MX,3,8,2,2,3J,departamento,"{""coordinates"": [[[-109.7378138762617, 23.001972939507784, 9], [-109.73798223923421, 23.00182413870921, 9], [-109.73800311043402, 23.00184564682356, 9], [-109.73800056168866, 23.001847621101966, 9], [-109.7380260734044, 23.001871563095467, 9], [-109.73800733823816, 23.001886423641007, 9], [-109.73803520704223, 23.001915477252318, 9], [-109.73788533132532, 23.002046877506462, 9], [-109.7378138762617, 23.001972939507784, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 11,,disponible,MX,3,8,2,2,3K,departamento,"{""coordinates"": [[[-109.73778186590067, 23.001794211794397, 9], [-109.73788518800707, 23.00190991350805, 9], [-109.7378138762617, 23.001972939507784, 9], [-109.73770243132776, 23.001857622062627, 9], [-109.73778186590067, 23.001794211794397, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 12,,disponible,MX,3,8,2,2,3L,departamento,"{""coordinates"": [[[-109.73782642651277, 23.00175864037676, 9], [-109.73792925801384, 23.001870964016366, 9], [-109.73788518800707, 23.00190991350805, 9], [-109.73778186590067, 23.001794211794397, 9], [-109.73782642651277, 23.00175864037676, 9]]], ""type"": ""Polygon""}",{},,,,3,0,1,
capa,GT Group,Piso 3,vertical,disponible,MX,3,8,3,,,,"{""coordinates"": [[[-109.73834533444442, 23.002238789331948, 12], [-109.73819730979476, 23.002369696667127, 12], [-109.73770243132776, 23.001857622062627, 12], [-109.73800660095183, 23.001614812455365, 12], [-109.73813565901965, 23.001764136197533, 12], [-109.73808596289929, 23.001805647593276, 12], [-109.73807161580322, 23.00179258202036, 12], [-109.73800056168866, 23.001847621101966, 12], [-109.7380260734044, 23.001871563095467, 12], [-109.73800733823816, 23.001886423641007, 12], [-109.73834533444442, 23.002238789331948, 12]]], ""type"": ""Polygon""}",{},{},,,3,0,1,
unidad,GT Group,Departamento 01,,disponible,MX,3,8,3,3,4A,departamento,"{""coordinates"": [[[-109.73805617237909, 23.001804544619386, 12], [-109.73793353040804, 23.001673142507546, 12], [-109.73800660095183, 23.001614812455365, 12], [-109.73813565901965, 23.001764136197533, 12], [-109.73808596289929, 23.001805647593276, 12], [-109.73807161580322, 23.00179258202036, 12], [-109.73805617237909, 23.001804544619386, 12]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 02,,disponible,MX,3,8,3,3,4B,departamento,"{""coordinates"": [[[-109.7381555510208, 23.0023264868508, 12], [-109.73830440605886, 23.002196120927437, 12], [-109.73834533444442, 23.002238789331948, 12], [-109.73819730979476, 23.002369696667127, 12], [-109.7381555510208, 23.0023264868508, 12]]], ""type"": ""Polygon""}",{},,,,3,0,1,
